subset,model_name,model,baseline,outcome,k,delta_loglik,se,mean_aug_loglik,mean_baseline_loglik,n
Advanced,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.0,2.2199501250654047e-05,0.00030285701200054814,0.03253806859711264,0.03251586909586199,4859
Advanced,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.25,0.0001647156016039632,0.000391839035755665,0.032680584697465945,0.03251586909586199,4859
Advanced,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.5,0.000299481071916911,0.00046319610682514517,0.0328153501677789,0.03251586909586199,4859
Advanced,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.75,0.00041515099464177273,0.0005179031649830528,0.032931020090503756,0.03251586909586199,4859
Advanced,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.0,0.0005078418216665088,0.0005583598650979328,0.033023710917528495,0.03251586909586199,4859
Advanced,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.25,0.0005778426801432494,0.0005871118492133965,0.03309371177600523,0.03251586909586199,4859
Advanced,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.5,0.0006277414271312533,0.0006065583452547371,0.033143610522993236,0.03251586909586199,4859
Advanced,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.75,0.0006601957690319997,0.0006185878546645616,0.03317606486489399,0.03251586909586199,4859
Elementary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.25,-0.00026601114248751313,0.0002836571220626078,-0.015211758320465748,-0.014945747177978239,4859
Elementary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.5,-0.0003847605029531507,0.00015924203434280633,-0.015330507680931386,-0.014945747177978239,4859
Elementary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.75,-0.0003583618000090752,0.00018851247850570237,-0.015304108977987313,-0.014945747177978239,4859
Elementary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.0,-0.0002674284616520252,0.0002699381326697277,-0.015213175639630264,-0.014945747177978239,4859
Elementary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.25,-0.0001807686358498295,0.0003168762232438751,-0.015126515813828068,-0.014945747177978239,4859
Elementary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.5,-0.0001410420940672881,0.00031747376991525257,-0.015086789272045528,-0.014945747177978239,4859
Elementary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.75,-0.00015016009005933668,0.00027846847277952406,-0.015095907268037577,-0.014945747177978239,4859
Elementary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.0,-0.00018416499487113963,0.0002129211308728981,-0.015129912172849378,-0.014945747177978239,4859
Elementary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.25,-0.0002131957336238277,0.00014089420309705875,-0.015158942911602061,-0.014945747177978239,4859
Elementary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.5,-0.00021397134211184108,0.00011164814792520012,-0.01515971852009008,-0.014945747177978239,4859
Elementary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.75,-0.0001732911720404575,0.00017061857941986006,-0.015119038350018698,-0.014945747177978239,4859
Elementary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.25,-0.00047733835619208516,0.0002358525851275248,-0.015423085534170324,-0.014945747177978239,4859
Elementary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.5,-0.00041039710324838305,0.00036670133768751384,-0.015356144281226619,-0.014945747177978239,4859
Elementary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.75,-0.0004355571844857691,0.0003059173226321056,-0.015381304362464005,-0.014945747177978239,4859
Elementary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.0,-0.00044929981315526183,0.00020082846532699851,-0.015395046991133502,-0.014945747177978239,4859
Elementary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.25,-0.0003995856970563356,0.00015502217881434234,-0.015345332875034578,-0.014945747177978239,4859
Elementary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.5,-0.00031006348419484916,0.00019640044846094107,-0.015255810662173085,-0.014945747177978239,4859
Elementary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.75,-0.00020623389477045543,0.0002649712348103386,-0.015151981072748696,-0.014945747177978239,4859
Elementary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.0,-0.00010082182412314279,0.00033210547050115585,-0.015046569002101383,-0.014945747177978239,4859
Elementary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.25,2.4019772050512233e-06,0.0003934767732968909,-0.014943345200773187,-0.014945747177978239,4859
Elementary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.5,0.00010349942921884136,0.0004498269259115621,-0.014842247748759398,-0.014945747177978239,4859
Elementary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.75,0.00020381252416795692,0.0005025607794336509,-0.014741934653810278,-0.014945747177978239,4859
Elementary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.25,-1.773442817350814e-05,0.0004293419034956604,-0.014963481606151748,-0.014945747177978239,4859
Elementary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.5,-5.809328830215563e-05,0.00041640785675190774,-0.01500384046628039,-0.014945747177978239,4859
Elementary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.75,-7.858401919629216e-05,0.0004090678561186858,-0.015024331197174529,-0.014945747177978239,4859
Elementary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.0,-8.850129183242271e-05,0.0004057141308613699,-0.01503424846981066,-0.014945747177978239,4859
Elementary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.25,-8.975478044694587e-05,0.00040505519760416646,-0.015035501958425183,-0.014945747177978239,4859
Elementary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.5,-8.691431009321054e-05,0.00040577115696866964,-0.015032661488071447,-0.014945747177978239,4859
Elementary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.75,-8.204298232542247e-05,0.00040706951641361844,-0.015027790160303665,-0.014945747177978239,4859
Elementary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.0,-7.659195504910744e-05,0.0004083037269924704,-0.015022339133027347,-0.014945747177978239,4859
Elementary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.25,-7.129923761217865e-05,0.00040913765107880313,-0.015017046415590414,-0.014945747177978239,4859
Elementary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.5,-6.589794436250453e-05,0.0004093960779991319,-0.01501164512234074,-0.014945747177978239,4859
Elementary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.75,-6.123380015329409e-05,0.00040894076481145895,-0.015006980978131537,-0.014945747177978239,4859
